keyword,cluster_id,cluster_size,intent,modifier_hits,score,volume,difficulty,cpc
step by step audience research methods 2025,11,6,unspecified,2,1.6,,,
step by step audience research methods example,11,6,unspecified,2,1.6,,,
step by step audience research methods pdf,11,6,unspecified,2,1.6,,,
step by step audience research methods template,11,6,unspecified,2,1.6,,,
step by step audience research methods uk,11,6,unspecified,2,1.6,,,
step by step channel mix planning 2025,12,6,unspecified,2,1.6,,,
step by step channel mix planning example,12,6,unspecified,2,1.6,,,
step by step channel mix planning pdf,12,6,unspecified,2,1.6,,,
step by step channel mix planning template,12,6,unspecified,2,1.6,,,
step by step channel mix planning uk,12,6,unspecified,2,1.6,,,
step by step marketing consultant advice 2025,9,6,unspecified,2,1.6,,,
step by step marketing consultant advice example,9,6,unspecified,2,1.6,,,
step by step marketing consultant advice pdf,9,6,unspecified,2,1.6,,,
step by step marketing consultant advice template,9,6,unspecified,2,1.6,,,
step by step marketing consultant advice uk,9,6,unspecified,2,1.6,,,
step by step marketing strategy framework 2025,10,6,unspecified,2,1.6,,,
step by step marketing strategy framework example,10,6,unspecified,2,1.6,,,
step by step marketing strategy framework pdf,10,6,unspecified,2,1.6,,,
step by step marketing strategy framework template,10,6,unspecified,2,1.6,,,
step by step marketing strategy framework uk,10,6,unspecified,2,1.6,,,
step by step track marketing roi 2025,13,6,unspecified,2,1.6,,,
step by step track marketing roi example,13,6,unspecified,2,1.6,,,
step by step track marketing roi pdf,13,6,unspecified,2,1.6,,,
step by step track marketing roi template,13,6,unspecified,2,1.6,,,
step by step track marketing roi uk,13,6,unspecified,2,1.6,,,
step by step audience research methods,11,6,unspecified,1,1.4,,,
step by step channel mix planning,12,6,unspecified,1,1.4,,,
step by step marketing consultant advice,9,6,unspecified,1,1.4,,,
step by step marketing strategy framework,10,6,unspecified,1,1.4,,,
step by step track marketing roi,13,6,unspecified,1,1.4,,,
best audience research methods 2025,6,24,commercial,2,1.4,,,
best audience research methods example,6,24,commercial,2,1.4,,,
best audience research methods pdf,6,24,commercial,2,1.4,,,
best audience research methods template,6,24,commercial,2,1.4,,,
best audience research methods uk,6,24,commercial,2,1.4,,,
best channel mix planning 2025,7,24,commercial,2,1.4,,,
best channel mix planning example,7,24,commercial,2,1.4,,,
best channel mix planning pdf,7,24,commercial,2,1.4,,,
best channel mix planning template,7,24,commercial,2,1.4,,,
best channel mix planning uk,7,24,commercial,2,1.4,,,
best marketing consultant advice 2025,4,24,commercial,2,1.4,,,
best marketing consultant advice example,4,24,commercial,2,1.4,,,
best marketing consultant advice pdf,4,24,commercial,2,1.4,,,
best marketing consultant advice template,4,24,commercial,2,1.4,,,
best marketing consultant advice uk,4,24,commercial,2,1.4,,,
best marketing strategy framework 2025,5,24,commercial,2,1.4,,,
best marketing strategy framework example,5,24,commercial,2,1.4,,,
best marketing strategy framework pdf,5,24,commercial,2,1.4,,,
best marketing strategy framework template,5,24,commercial,2,1.4,,,
best marketing strategy framework uk,5,24,commercial,2,1.4,,,
best track marketing roi 2025,8,24,commercial,2,1.4,,,
best track marketing roi example,8,24,commercial,2,1.4,,,
best track marketing roi pdf,8,24,commercial,2,1.4,,,
best track marketing roi template,8,24,commercial,2,1.4,,,
best track marketing roi uk,8,24,commercial,2,1.4,,,
simple audience research methods 2025,6,24,unspecified,2,1.4,,,
simple audience research methods example,6,24,unspecified,2,1.4,,,
simple audience research methods pdf,6,24,unspecified,2,1.4,,,
simple audience research methods template,6,24,unspecified,2,1.4,,,
simple audience research methods uk,6,24,unspecified,2,1.4,,,
simple channel mix planning 2025,7,24,unspecified,2,1.4,,,
simple channel mix planning example,7,24,unspecified,2,1.4,,,
simple channel mix planning pdf,7,24,unspecified,2,1.4,,,
simple channel mix planning template,7,24,unspecified,2,1.4,,,
simple channel mix planning uk,7,24,unspecified,2,1.4,,,
simple marketing consultant advice 2025,4,24,unspecified,2,1.4,,,
simple marketing consultant advice example,4,24,unspecified,2,1.4,,,
simple marketing consultant advice pdf,4,24,unspecified,2,1.4,,,
simple marketing consultant advice template,4,24,unspecified,2,1.4,,,
simple marketing consultant advice uk,4,24,unspecified,2,1.4,,,
simple marketing strategy framework 2025,5,24,unspecified,2,1.4,,,
simple marketing strategy framework example,5,24,unspecified,2,1.4,,,
