keyword,cluster_id,cluster_size,intent,modifier_hits,score,volume,difficulty,cpc
best increase restaurant reservations before and after,7,4,commercial,2,1.7,,,
best local seo restaurant before and after,6,4,commercial,2,1.7,,,
real increase restaurant reservations before and after,7,4,unspecified,2,1.7,,,
real local seo restaurant before and after,6,4,unspecified,2,1.7,,,
successful increase restaurant reservations before and after,7,4,unspecified,2,1.7,,,
successful local seo restaurant before and after,6,4,unspecified,2,1.7,,,
increase restaurant reservations before and after,7,4,unspecified,1,1.5,,,
local seo restaurant before and after,6,4,unspecified,1,1.5,,,
best increase restaurant reservations manchester,5,16,commercial,2,1.4,,,
best increase restaurant reservations results,5,16,commercial,2,1.4,,,
best increase restaurant reservations uk,5,16,commercial,2,1.4,,,
best local seo restaurant manchester,4,16,commercial,2,1.4,,,
best local seo restaurant results,4,16,commercial,2,1.4,,,
best local seo restaurant uk,4,16,commercial,2,1.4,,,
real increase restaurant reservations manchester,5,16,unspecified,2,1.4,,,
real increase restaurant reservations results,5,16,unspecified,2,1.4,,,
real increase restaurant reservations uk,5,16,unspecified,2,1.4,,,
real local seo restaurant manchester,4,16,unspecified,2,1.4,,,
real local seo restaurant results,4,16,unspecified,2,1.4,,,
real local seo restaurant uk,4,16,unspecified,2,1.4,,,
successful increase restaurant reservations manchester,5,16,unspecified,2,1.4,,,
successful increase restaurant reservations results,5,16,unspecified,2,1.4,,,
successful increase restaurant reservations uk,5,16,unspecified,2,1.4,,,
successful local seo restaurant manchester,4,16,unspecified,2,1.4,,,
successful local seo restaurant results,4,16,unspecified,2,1.4,,,
successful local seo restaurant uk,4,16,unspecified,2,1.4,,,
best google business profile optimization restaurant before and after,3,20,commercial,2,1.4,,,
best google business profile optimization restaurant manchester,3,20,commercial,2,1.4,,,
best google business profile optimization restaurant results,3,20,commercial,2,1.4,,,
best google business profile optimization restaurant uk,3,20,commercial,2,1.4,,,
best social media strategy restaurant before and after,2,20,commercial,2,1.4,,,
best social media strategy restaurant manchester,2,20,commercial,2,1.4,,,
best social media strategy restaurant results,2,20,commercial,2,1.4,,,
best social media strategy restaurant uk,2,20,commercial,2,1.4,,,
real google business profile optimization restaurant before and after,3,20,unspecified,2,1.4,,,
real google business profile optimization restaurant manchester,3,20,unspecified,2,1.4,,,
real google business profile optimization restaurant results,3,20,unspecified,2,1.4,,,
real google business profile optimization restaurant uk,3,20,unspecified,2,1.4,,,
real social media strategy restaurant before and after,2,20,unspecified,2,1.4,,,
real social media strategy restaurant manchester,2,20,unspecified,2,1.4,,,
real social media strategy restaurant results,2,20,unspecified,2,1.4,,,
real social media strategy restaurant uk,2,20,unspecified,2,1.4,,,
successful google business profile optimization restaurant before and after,3,20,unspecified,2,1.4,,,
successful google business profile optimization restaurant manchester,3,20,unspecified,2,1.4,,,
successful google business profile optimization restaurant results,3,20,unspecified,2,1.4,,,
successful google business profile optimization restaurant uk,3,20,unspecified,2,1.4,,,
successful social media strategy restaurant before and after,2,20,unspecified,2,1.4,,,
successful social media strategy restaurant manchester,2,20,unspecified,2,1.4,,,
successful social media strategy restaurant results,2,20,unspecified,2,1.4,,,
successful social media strategy restaurant uk,2,20,unspecified,2,1.4,,,
best email marketing restaurant before and after,1,28,commercial,2,1.4,,,
best italian restaurant marketing before and after,1,28,commercial,2,1.4,,,
best restaurant digital marketing case study before and after,1,28,commercial,2,1.4,,,
best restaurant digital marketing case study manchester,1,28,commercial,2,1.4,,,
best restaurant digital marketing case study results,1,28,commercial,2,1.4,,,
best restaurant digital marketing case study uk,1,28,commercial,2,1.4,,,
real email marketing restaurant before and after,1,28,unspecified,2,1.4,,,
real italian restaurant marketing before and after,1,28,unspecified,2,1.4,,,
real restaurant digital marketing case study before and after,1,28,unspecified,2,1.4,,,
real restaurant digital marketing case study manchester,1,28,unspecified,2,1.4,,,
real restaurant digital marketing case study results,1,28,unspecified,2,1.4,,,
real restaurant digital marketing case study uk,1,28,unspecified,2,1.4,,,
successful email marketing restaurant before and after,1,28,unspecified,2,1.4,,,
successful italian restaurant marketing before and after,1,28,unspecified,2,1.4,,,
successful restaurant digital marketing case study before and after,1,28,unspecified,2,1.4,,,
successful restaurant digital marketing case study manchester,1,28,unspecified,2,1.4,,,
successful restaurant digital marketing case study results,1,28,unspecified,2,1.4,,,
successful restaurant digital marketing case study uk,1,28,unspecified,2,1.4,,,
best email marketing restaurant manchester,0,32,commercial,2,1.4,,,
best email marketing restaurant results,0,32,commercial,2,1.4,,,
best email marketing restaurant uk,0,32,commercial,2,1.4,,,
best italian restaurant marketing manchester,0,32,commercial,2,1.4,,,
best italian restaurant marketing results,0,32,commercial,2,1.4,,,
best italian restaurant marketing uk,0,32,commercial,2,1.4,,,
real email marketing restaurant manchester,0,32,unspecified,2,1.4,,,
real email marketing restaurant results,0,32,unspecified,2,1.4,,,
real email marketing restaurant uk,0,32,unspecified,2,1.4,,,
real italian restaurant marketing manchester,0,32,unspecified,2,1.4,,,
real italian restaurant marketing results,0,32,unspecified,2,1.4,,,
real italian restaurant marketing uk,0,32,unspecified,2,1.4,,,
successful email marketing restaurant manchester,0,32,unspecified,2,1.4,,,
successful email marketing restaurant results,0,32,unspecified,2,1.4,,,
successful email marketing restaurant uk,0,32,unspecified,2,1.4,,,
successful italian restaurant marketing manchester,0,32,unspecified,2,1.4,,,
successful italian restaurant marketing results,0,32,unspecified,2,1.4,,,
successful italian restaurant marketing uk,0,32,unspecified,2,1.4,,,
best increase restaurant reservations,5,16,commercial,1,1.2,,,
best local seo restaurant,4,16,commercial,1,1.2,,,
increase restaurant reservations manchester,5,16,unspecified,1,1.2,,,
increase restaurant reservations results,5,16,unspecified,1,1.2,,,
increase restaurant reservations uk,5,16,unspecified,1,1.2,,,
local seo restaurant manchester,4,16,unspecified,1,1.2,,,
local seo restaurant results,4,16,unspecified,1,1.2,,,
local seo restaurant uk,4,16,unspecified,1,1.2,,,
real increase restaurant reservations,5,16,unspecified,1,1.2,,,
real local seo restaurant,4,16,unspecified,1,1.2,,,
successful increase restaurant reservations,5,16,unspecified,1,1.2,,,
successful local seo restaurant,4,16,unspecified,1,1.2,,,
best google business profile optimization restaurant,3,20,commercial,1,1.2,,,
best social media strategy restaurant,2,20,commercial,1,1.2,,,
google business profile optimization restaurant before and after,3,20,unspecified,1,1.2,,,
google business profile optimization restaurant manchester,3,20,unspecified,1,1.2,,,
google business profile optimization restaurant results,3,20,unspecified,1,1.2,,,
google business profile optimization restaurant uk,3,20,unspecified,1,1.2,,,
real google business profile optimization restaurant,3,20,unspecified,1,1.2,,,
real social media strategy restaurant,2,20,unspecified,1,1.2,,,
social media strategy restaurant before and after,2,20,unspecified,1,1.2,,,
social media strategy restaurant manchester,2,20,unspecified,1,1.2,,,
social media strategy restaurant results,2,20,unspecified,1,1.2,,,
social media strategy restaurant uk,2,20,unspecified,1,1.2,,,
successful google business profile optimization restaurant,3,20,unspecified,1,1.2,,,
successful social media strategy restaurant,2,20,unspecified,1,1.2,,,
best restaurant digital marketing case study,1,28,commercial,1,1.2,,,
email marketing restaurant before and after,1,28,unspecified,1,1.2,,,
italian restaurant marketing before and after,1,28,unspecified,1,1.2,,,
real restaurant digital marketing case study,1,28,unspecified,1,1.2,,,
restaurant digital marketing case study before and after,1,28,unspecified,1,1.2,,,
restaurant digital marketing case study manchester,1,28,unspecified,1,1.2,,,
restaurant digital marketing case study results,1,28,unspecified,1,1.2,,,
restaurant digital marketing case study uk,1,28,unspecified,1,1.2,,,
successful restaurant digital marketing case study,1,28,unspecified,1,1.2,,,
best email marketing restaurant,0,32,commercial,1,1.2,,,
best italian restaurant marketing,0,32,commercial,1,1.2,,,
email marketing restaurant manchester,0,32,unspecified,1,1.2,,,
email marketing restaurant results,0,32,unspecified,1,1.2,,,
email marketing restaurant uk,0,32,unspecified,1,1.2,,,
italian restaurant marketing manchester,0,32,unspecified,1,1.2,,,
italian restaurant marketing results,0,32,unspecified,1,1.2,,,
italian restaurant marketing uk,0,32,unspecified,1,1.2,,,
real email marketing restaurant,0,32,unspecified,1,1.2,,,
real italian restaurant marketing,0,32,unspecified,1,1.2,,,
successful email marketing restaurant,0,32,unspecified,1,1.2,,,
successful italian restaurant marketing,0,32,unspecified,1,1.2,,,
increase restaurant reservations,5,16,unspecified,0,1.0,,,
local seo restaurant,4,16,unspecified,0,1.0,,,
google business profile optimization restaurant,3,20,unspecified,0,1.0,,,
social media strategy restaurant,2,20,unspecified,0,1.0,,,
restaurant digital marketing case study,1,28,unspecified,0,1.0,,,
email marketing restaurant,0,32,unspecified,0,1.0,,,
italian restaurant marketing,0,32,unspecified,0,1.0,,,
