keyword,cluster_id,cluster_size,intent,modifier_hits,score,volume,difficulty,cpc
best audience research methods 2025,2,30,commercial,2,1.4,,,
best audience research methods example,2,30,commercial,2,1.4,,,
best audience research methods pdf,2,30,commercial,2,1.4,,,
best audience research methods template,2,30,commercial,2,1.4,,,
best audience research methods uk,2,30,commercial,2,1.4,,,
best channel mix planning 2025,3,30,commercial,2,1.4,,,
best channel mix planning example,3,30,commercial,2,1.4,,,
best channel mix planning pdf,3,30,commercial,2,1.4,,,
best channel mix planning template,3,30,commercial,2,1.4,,,
best channel mix planning uk,3,30,commercial,2,1.4,,,
best how to create a marketing plan 2025,1,30,informational,2,1.4,,,
best how to create a marketing plan example,1,30,informational,2,1.4,,,
best how to create a marketing plan pdf,1,30,informational,2,1.4,,,
best how to create a marketing plan template,1,30,informational,2,1.4,,,
best how to create a marketing plan uk,1,30,informational,2,1.4,,,
simple audience research methods 2025,2,30,unspecified,2,1.4,,,
simple audience research methods example,2,30,unspecified,2,1.4,,,
simple audience research methods pdf,2,30,unspecified,2,1.4,,,
simple audience research methods template,2,30,unspecified,2,1.4,,,
simple audience research methods uk,2,30,unspecified,2,1.4,,,
simple channel mix planning 2025,3,30,unspecified,2,1.4,,,
simple channel mix planning example,3,30,unspecified,2,1.4,,,
simple channel mix planning pdf,3,30,unspecified,2,1.4,,,
simple channel mix planning template,3,30,unspecified,2,1.4,,,
simple channel mix planning uk,3,30,unspecified,2,1.4,,,
simple how to create a marketing plan 2025,1,30,informational,2,1.4,,,
simple how to create a marketing plan example,1,30,informational,2,1.4,,,
simple how to create a marketing plan pdf,1,30,informational,2,1.4,,,
simple how to create a marketing plan template,1,30,informational,2,1.4,,,
simple how to create a marketing plan uk,1,30,informational,2,1.4,,,
step by step audience research methods 2025,2,30,unspecified,2,1.4,,,
step by step audience research methods example,2,30,unspecified,2,1.4,,,
step by step audience research methods pdf,2,30,unspecified,2,1.4,,,
step by step audience research methods template,2,30,unspecified,2,1.4,,,
step by step audience research methods uk,2,30,unspecified,2,1.4,,,
step by step channel mix planning 2025,3,30,unspecified,2,1.4,,,
step by step channel mix planning example,3,30,unspecified,2,1.4,,,
step by step channel mix planning pdf,3,30,unspecified,2,1.4,,,
step by step channel mix planning template,3,30,unspecified,2,1.4,,,
step by step channel mix planning uk,3,30,unspecified,2,1.4,,,
step by step how to create a marketing plan 2025,1,30,informational,2,1.4,,,
step by step how to create a marketing plan example,1,30,informational,2,1.4,,,
step by step how to create a marketing plan pdf,1,30,informational,2,1.4,,,
step by step how to create a marketing plan template,1,30,informational,2,1.4,,,
step by step how to create a marketing plan uk,1,30,informational,2,1.4,,,
ultimate audience research methods 2025,2,30,unspecified,2,1.4,,,
ultimate audience research methods example,2,30,unspecified,2,1.4,,,
ultimate audience research methods pdf,2,30,unspecified,2,1.4,,,
ultimate audience research methods template,2,30,unspecified,2,1.4,,,
ultimate audience research methods uk,2,30,unspecified,2,1.4,,,
